Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
LBTYK,Liberty Global plc,21.77,$13.2B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lbtyk,
LILA,Liberty Latin America Ltd.,10.74,$1.96B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lila,
LILAK,Liberty Latin America Ltd.,10.32,$1.88B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lilak,
BATRA,Liberty Media Corporation,22.58,$1.16B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/batra,
BATRK,Liberty Media Corporation,22.25,$1.14B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/batrk,
FWONA,Liberty Media Corporation,33.8,$7.83B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/fwona,
FWONK,Liberty Media Corporation,36.29,$8.41B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/fwonk,
LSXMA,Liberty Media Corporation,35.79,$11.23B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/lsxma,
LSXMB,Liberty Media Corporation,37.03,$11.61B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/lsxmb,
LSXMK,Liberty Media Corporation,35.36,$11.09B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/lsxmk,
LTRPA,"Liberty TripAdvisor Holdings, Inc.",2.53,$190.05M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/ltrpa,
LTRPB,"Liberty TripAdvisor Holdings, Inc.",57.79,$4.34B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/ltrpb,
LSAC,LifeSci Acquisition Corp.,9.65,$79.18M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/lsac,
LSACU,LifeSci Acquisition Corp.,10.4,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/lsacu,
LSACW,LifeSci Acquisition Corp.,0.97,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/lsacw,
LCUT,"Lifetime Brands, Inc.",5.85,$125.69M,1991,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lcut,
LFVN,Lifevantage Corporation,14.48,$207.25M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lfvn,
LWAY,"Lifeway Foods, Inc.",2.36,$36.78M,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/lway,
LGND,Ligand Pharmaceuticals Incorporated,109.16,$1.75B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lgnd,
LTBR,Lightbridge Corporation,5.03,$16.92M,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ltbr,
LPTH,"LightPath Technologies, Inc.",3.14,$81.21M,1996,Technology,Semiconductors,https://old.nasdaq.com/symbol/lpth,
LLEX,"Lilis Energy, Inc.",0.2271,$21.66M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/llex,
LMB,"Limbach Holdings, Inc.",3.1,$24.35M,n/a,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/lmb,
LLNW,"Limelight Networks, Inc.",5.11,$611.46M,2007,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/llnw,
LMST,"Limestone Bancorp, Inc.",12.25,$91.74M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/lmst,
