userId,stockSymbol,stockName,fairValue,investmentName,starRating,analystRating,Date,comment
hankmoody789,APTX,Aptinyx Inc,6.2,-,-,-,2020-06-22,
hankmoody789,APM,Aptorum Group Ltd Class A,4.57,-,-,-,2020-06-22,
hankmoody789,APTO,Aptose Biosciences Inc,6.64,-,-,-,2020-06-22,
hankmoody789,APYX,Apyx Medical Corp,6.94,-,-,-,2020-06-22,
hankmoody789,AQMS,Aqua Metals Inc,1.56,-,-,-,2020-06-22,
hankmoody789,AQB,AquaBounty Technologies Inc,3.32,-,-,-,2020-06-22,
hankmoody789,AQST,Aquestive Therapeutics Inc,7.68,-,-,-,2020-06-22,
hankmoody789,ARAV,Aravive Inc,16.29,-,-,-,2020-06-22,
hankmoody789,ABUS,Arbutus Biopharma Corp,2.03,-,-,-,2020-06-22,
hankmoody789,ABIO,ARCA biopharma Inc,8.8,-,-,-,2020-06-22,
hankmoody789,RKDA,Arcadia Biosciences Inc,5.19,-,-,-,2020-06-22,
hankmoody789,ARCB,ArcBest Corp,28.82,-,-,-,2020-06-22,
hankmoody789,ACGL,Arch Capital Group Ltd,33.76,-,-,-,2020-06-22,
hankmoody789,ACGLO,Arch Capital Group Ltd Pref Share,28.65,-,-,-,2020-06-22,
hankmoody789,ACGLP,Arch Capital Group Ltd Pref Share,28.08,-,-,-,2020-06-22,
hankmoody789,FUV,Arcimoto Inc,3.55,-,-,-,2020-06-22,
hankmoody789,ARCE,Arco Platform Ltd Class A,34.93,-,-,-,2020-06-22,
hankmoody789,ARCT,Arcturus Therapeutics Holdings Inc,34.15,-,-,-,2020-06-22,
hankmoody789,ARQT,Arcutis Biotherapeutics Inc Ordinary Shares,32.5,-,-,-,2020-06-22,
hankmoody789,ARDX,Ardelyx Inc,7.37,-,-,-,2020-06-22,
hankmoody789,ARNA,Arena Pharmaceuticals Inc,60.6,-,-,-,2020-06-22,
hankmoody789,ARCC,Ares Capital Corp,16.81,-,-,-,2020-06-22,
hankmoody789,ARGX,argenx SE ADR,169.88,-,-,-,2020-06-22,
hankmoody789,ARDS,Aridis Pharmaceuticals Inc,7.04,-,-,-,2020-06-22,
hankmoody789,ARKR,Ark Restaurants Corp,17.83,-,-,-,2020-06-22,
hankmoody789,DWCR,-,0,Arrow DWA Country Rotation ETF,-,-,2020-06-22,
hankmoody789,DWAT,-,0,Arrow DWA Tactical ETF,2,-,2020-06-22,
hankmoody789,AROW,Arrow Financial Corp,30.67,-,-,-,2020-06-22,
hankmoody789,ARWR,Arrowhead Pharmaceuticals Inc,24.98,-,-,-,2020-06-22,
hankmoody789,ARTL,Artelo Biosciences Inc,2.19,-,-,-,2020-06-22,
hankmoody789,ARTLW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,ARTNA,Artesian Resources Corp Class A,33.14,-,-,-,2020-06-22,
hankmoody789,ARTW,Art's-Way Manufacturing Co Inc,3.4,-,-,-,2020-06-22,
hankmoody789,ARVN,Arvinas Inc,28.48,-,-,-,2020-06-22,
hankmoody789,,-,—,-,-,-,2020-06-22,
hankmoody789,ARYA,ARYA Sciences Acquisition Corp Ordinary Shares Class A,13.57,-,-,-,2020-06-22,
hankmoody789,,-,—,-,-,-,2020-06-22,
hankmoody789,ARYAW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,ASNA,Ascena Retail Group Inc,5.5,-,-,-,2020-06-22,
hankmoody789,ASND,Ascendis Pharma A/S ADR,122.76,-,-,-,2020-06-22,
hankmoody789,APWC,Asia Pacific Wire &amp, Cable Corp Ltd,1.58,-,-,2020-06-22,-
hankmoody789,ASLN,ASLAN Pharmaceuticals Ltd ADR,1.93,-,-,-,2020-06-22,
hankmoody789,ASML,ASML Holding NV ADR,245,-,-,-,2020-06-22,
hankmoody789,ASPU,Aspen Group Inc,10.06,-,-,-,2020-06-22,
hankmoody789,AZPN,Aspen Technology Inc,114,-,-,-,2020-06-22,
hankmoody789,AWH,Aspira Womens Health Inc,3.69,-,-,-,2020-06-22,
hankmoody789,ASMB,Assembly Biosciences Inc,26.02,-,-,-,2020-06-22,
hankmoody789,ASRT,Assertio Holdings Inc,1.32,-,-,-,2020-06-22,
hankmoody789,ASFI,Asta Funding Inc,12.64,-,-,-,2020-06-22,
hankmoody789,ASTE,Astec Industries Inc,46.15,-,-,-,2020-06-22,
hankmoody789,ATRO,Astronics Corp,14.45,-,-,-,2020-06-22,
hankmoody789,ALOT,AstroNova Inc,9.77,-,-,-,2020-06-22,
hankmoody789,ASTC,Astrotech Corp,2.79,-,-,-,2020-06-22,
hankmoody789,ASUR,Asure Software Inc,8.03,-,-,-,2020-06-22,
hankmoody789,AACG,ATA Creativity Global ADR,1.63,-,-,-,2020-06-22,
hankmoody789,ATRA,Atara Biotherapeutics Inc,14.32,-,-,-,2020-06-22,
hankmoody789,ATNX,Athenex Inc,17.4,-,-,-,2020-06-22,
hankmoody789,ATHX,Athersys Inc,1.84,-,-,-,2020-06-22,
hankmoody789,ATIF,ATIF Holdings Ltd,1.57,-,-,-,2020-06-22,
hankmoody789,AAME,Atlantic American Corp,2.5,-,-,-,2020-06-22,
