Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
STRT,Strattec Security Corporation,19,$72.55M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/strt
STRS,Stratus Properties Inc.,17.05,$139.98M,n/a,Consumer Services,Homebuilding,https://old.nasdaq.com/symbol/strs
STRM,"Streamline Health Solutions, Inc.",1.04,$32.15M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/strm
SBBP,Strongbridge Biopharma plc,3.36,$182.27M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sbbp
SUMR,"Summer Infant, Inc.",5.831,$12.31M,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/sumr
SMMF,"Summit Financial Group, Inc.",15.68,$203.4M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/smmf
SSBI,Summit State Bank,11.29,$68.53M,2006,n/a,n/a,https://old.nasdaq.com/symbol/ssbi
SMMT,Summit Therapeutics plc,3.49,$234.64M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/smmt
WISA,"Summit Wireless Technologies, Inc.",2.25,$12.77M,2018,Technology,Semiconductors,https://old.nasdaq.com/symbol/wisa
SNDE,Sundance Energy Inc. ,3.55,$24.41M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/snde
SNDL,Sundial Growers Inc.,0.97,$104.13M,2019,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/sndl
SNSS,"Sunesis Pharmaceuticals, Inc.",0.5091,$56.71M,2005,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/snss
STKL,"SunOpta, Inc.",4.51,$483.98M,n/a,Consumer Services,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/stkl
SPWR,SunPower Corporation,7.37,$1.25B,2005,Technology,Semiconductors,https://old.nasdaq.com/symbol/spwr
RUN,Sunrun Inc.,17.93,$2.16B,2015,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/run
SUNW,"Sunworks, Inc.",0.515,$8.56M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/sunw
SLGG,"Super League Gaming, Inc.",2.74,$28.55M,2019,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/slgg
SMCI,"Super Micro Computer, Inc.",29.22,$1.52B,2020,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/smci
SPCB,"SuperCom, Ltd.",1.87,$30.45M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/spcb
SCON,Superconductor Technologies Inc.,0.489,$11.39M,1993,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/scon
SGC,"Superior Group of Companies, Inc.",11.7,$179.18M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/sgc
SUPN,"Supernus Pharmaceuticals, Inc.",22.83,$1.2B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/supn
SPRT,"support.com, Inc.",1.27,$24.2M,2000,Technology,EDP Services,https://old.nasdaq.com/symbol/sprt
SURF,"Surface Oncology, Inc.",4.2,$118.95M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/surf
SGRY,"Surgery Partners, Inc.",11.83,$597.63M,2015,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/sgry
SRDX,"Surmodics, Inc.",39.5,$537.53M,1998,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/srdx
STRO,"Sutro Biopharma, Inc.",8.88,$318.6M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/stro
SSSS,Sutter Rock Capital Corp.,7.67,$124.87M,2011,n/a,n/a,https://old.nasdaq.com/symbol/ssss
SIVB,SVB Financial Group,208.53,$10.74B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/sivb
SIVBP,SVB Financial Group,23.94,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/sivbp
SVMK,SVMK Inc.,20.95,$2.89B,2018,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/svmk
SWKH,SWK Holdings Corporation,12.59,$162.56M,n/a,Finance,Diversified Financial Services,https://old.nasdaq.com/symbol/swkh
SYKE,"Sykes Enterprises, Incorporated",27.01,$1.09B,1996,Technology,EDP Services,https://old.nasdaq.com/symbol/syke
SYNC,"Synacor, Inc.",1.22,$48.13M,2012,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/sync
SYNL,Synalloy Corporation,8.52,$77.17M,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/synl
SYNA,Synaptics Incorporated,62.61,$2.13B,2002,Technology,Semiconductors,https://old.nasdaq.com/symbol/syna
SNCR,"Synchronoss Technologies, Inc.",3.06,$136.3M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/sncr
SNDX,"Syndax Pharmaceuticals, Inc.",15.5,$559.47M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sndx
SYNH,"Syneos Health, Inc.",52.8,$5.5B,2014,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/synh
SYBX,"Synlogic, Inc.",2.17,$71.26M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sybx
SNPS,"Synopsys, Inc.",179.6,$27.08B,1992,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/snps
SYPR,"Sypris Solutions, Inc.",0.7237,$15.42M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/sypr
SYRS,"Syros Pharmaceuticals, Inc.",8.85,$404.38M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/syrs
TROW,"T. Rowe Price Group, Inc.",120.93,$27.52B,1986,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/trow
TTOO,"T2 Biosystems, Inc.",1.67,$199.02M,2014,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/ttoo
TRHC,"Tabula Rasa HealthCare, Inc.",53.16,$1.22B,2016,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/trhc
TCMD,"Tactile Systems Technology, Inc.",40.77,$784.13M,2016,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/tcmd
TAIT,Taitron Components Incorporated,2.45,$14.2M,1995,Technology,Electronic Components,https://old.nasdaq.com/symbol/tait
TLC,"Taiwan Liposome Company, Ltd.",4.97,$185.28M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tlc
TTWO,"Take-Two Interactive Software, Inc.",134,$15.27B,1997,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ttwo
TLND,Talend S.A.,33.66,$1.05B,2016,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/tlnd
TNDM,"Tandem Diabetes Care, Inc.",80.96,$4.87B,2013,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/tndm
TLF,"Tandy Leather Factory, Inc.",3.65,$32.97M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/tlf
TANH,Tantech Holdings Ltd.,1.08,$31.16M,2015,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/tanh
TAOP,Taoping Inc.,0.43,$18.09M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/taop
